,iso2,nc_2,flow,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,sum_2021,name
211,BE,08,2,2477794741.0,2560365188.0,2289311495.0,2440218125.0,2263355348.0,2227637197.0,Belgium
212,BE,09,1,1143781399.0,1211573680.0,1074536180.0,1111707303.0,1140534563.0,1391691254.0,Belgium
213,BE,09,2,1009343319.0,956163785.0,837196474.0,855397551.0,874626613.0,1017062654.0,Belgium
214,BE,10,1,1787395661.0,1833853960.0,1827283907.0,1920039452.0,1937399539.0,2406901578.0,Belgium
215,BE,10,2,516257577.0,513530148.0,563953973.0,529631014.0,573561476.0,631795353.0,Belgium
216,BE,11,1,502814824.0,529301150.0,577676718.0,455870714.0,448113097.0,581371664.0,Belgium
217,BE,11,2,1056891869.0,1083431097.0,1094068517.0,1090208543.0,1052430754.0,1246027274.0,Belgium
218,BE,12,1,1822212573.0,1681726164.0,1708367642.0,1570697898.0,1736302295.0,2182827036.0,Belgium
219,BE,12,2,622141413.0,635410197.0,695192784.0,555854893.0,838279507.0,809556932.0,Belgium
220,BE,13,1,122672853.0,117237498.0,126036373.0,139429167.0,133221603.0,134501631.0,Belgium
221,BE,13,2,78580621.0,82760123.0,89552613.0,90513781.0,91811963.0,82707485.0,Belgium
222,BE,14,1,18687313.0,17836293.0,20890961.0,22866716.0,26262915.0,27988976.0,Belgium
223,BE,14,2,12167596.0,14780563.0,15700770.0,15841041.0,23714061.0,22455048.0,Belgium
224,BE,15,1,1656143384.0,1832185948.0,1753602869.0,1746663224.0,2075416375.0,2922615036.0,Belgium
225,BE,15,2,1594605239.0,1586866653.0,1557986974.0,1513391212.0,1622003938.0,2265472057.0,Belgium
226,BE,16,1,968524029.0,989438012.0,1019543729.0,983366407.0,1007857050.0,1163169527.0,Belgium
227,BE,16,2,902745995.0,962410479.0,953420068.0,1026894503.0,1018125720.0,1140940820.0,Belgium
228,BE,17,1,868004910.0,996503124.0,882919723.0,751255614.0,709957103.0,843095806.0,Belgium
229,BE,17,2,1104307742.0,1174403843.0,1205635769.0,1107074836.0,1032773252.0,1197305659.0,Belgium
230,BE,18,1,2594780539.0,2340397055.0,2136102221.0,2447478621.0,2565491786.0,2701017326.0,Belgium
231,BE,18,2,3409683509.0,3388486022.0,3230631062.0,3487674080.0,3478143420.0,3722993698.0,Belgium
232,BE,19,1,1624294884.0,1699411555.0,1750493575.0,1774987885.0,1735761959.0,2041128881.0,Belgium
233,BE,19,2,3262681912.0,3400522242.0,3559571869.0,3593516810.0,3471607394.0,4079030549.0,Belgium
234,BE,20,1,1787865808.0,1812125626.0,1832936992.0,1783989136.0,1819198355.0,1866436315.0,Belgium
235,BE,20,2,3399195926.0,3567145222.0,3668445458.0,4011453562.0,3752036617.0,3898490905.0,Belgium
236,BE,21,1,1162996070.0,1221979424.0,1247233411.0,1270126693.0,1314181814.0,1580126835.0,Belgium
237,BE,21,2,1784641746.0,1838650059.0,1869013955.0,1918366955.0,2019084705.0,2333130202.0,Belgium
238,BE,22,1,2588147960.0,2707404939.0,2787970723.0,2785595191.0,2716451546.0,3150375139.0,Belgium
239,BE,22,2,2974743515.0,3294759760.0,3502636988.0,3834647069.0,3913671930.0,4463257278.0,Belgium
240,BE,23,1,1773342930.0,1836591693.0,1725589612.0,1772249694.0,1963664314.0,2109690038.0,Belgium
241,BE,23,2,2077051008.0,2113276802.0,2021192719.0,2138235962.0,2318611257.0,2541508405.0,Belgium
242,BE,24,1,1445323989.0,1625215407.0,1680270604.0,1565923082.0,1450102523.0,1327595037.0,Belgium
243,BE,24,2,1486093207.0,1542107582.0,1623355765.0,1655667120.0,1631120715.0,1621769265.0,Belgium
244,BE,25,1,1072027326.0,1100068313.0,1110834494.0,1162581511.0,1147332262.0,1380549601.0,Belgium
245,BE,25,2,1039632855.0,1130191411.0,1096697103.0,1092337536.0,993911055.0,1062834891.0,Belgium
246,BE,26,1,2259275994.0,3015070169.0,3042149224.0,2582412716.0,2418379117.0,3466852364.0,Belgium
247,BE,26,2,1085945015.0,1258467245.0,1394088706.0,1277876062.0,1161598747.0,1179395186.0,Belgium
248,BE,27,1,34304653464.0,42733832252.0,53226279155.0,45030153289.0,29539166873.0,60024411527.0,Belgium
249,BE,27,2,24914784001.0,31821069363.0,37450810543.0,32847583679.0,21792980283.0,43505860748.0,Belgium
250,BE,28,1,2505821946.0,2466329815.0,2738429484.0,2610884644.0,2316049808.0,2873642065.0,Belgium
251,BE,28,2,2435447807.0,3041223488.0,3464295369.0,3115410588.0,3017024918.0,3574340060.0,Belgium
252,BE,29,1,27814298534.0,27368569031.0,31588705363.0,26329173495.0,21604529316.0,29798655580.0,Belgium
253,BE,29,2,28057067486.0,25460253573.0,31472750630.0,26817180319.0,23327923854.0,24540739124.0,Belgium
254,BE,30,1,31558145534.0,31016575785.0,34458136973.0,40373086944.0,44392271296.0,47902643939.0,Belgium
255,BE,30,2,37871904703.0,37677098945.0,40111473073.0,46843386062.0,53773081743.0,81433795084.0,Belgium
256,BE,31,1,933442040.0,1045926270.0,1110688830.0,1147812592.0,1017142489.0,1377549565.0,Belgium
257,BE,31,2,1685957297.0,1692878128.0,1728948964.0,1851961395.0,1707625464.0,1994139350.0,Belgium
258,BE,32,1,1547432250.0,1645702945.0,2407353924.0,2392433120.0,2389740808.0,2772738144.0,Belgium
259,BE,32,2,3135330016.0,3411534983.0,3683210084.0,3475624838.0,3439992060.0,4069166862.0,Belgium
260,BE,33,1,2685414808.0,2829304665.0,2860300518.0,2843512151.0,2779613928.0,2638868666.0,Belgium
261,BE,33,2,2973633346.0,2967559709.0,2902062753.0,2782083811.0,2730469779.0,2578697609.0,Belgium
262,BE,34,1,1802603180.0,1827518768.0,1891255973.0,1930035536.0,1910592355.0,2118711720.0,Belgium
263,BE,34,2,2897383607.0,3070210702.0,3151920780.0,3330819670.0,3224764423.0,3572615183.0,Belgium
